Medicamento;Enlace;Sintomas
Zidovudina;https://medlineplus.gov/spanish/druginfo/meds/a687007-es.html;La zidovudina se usa junto con otros medicamentos para tratar la infección por el virus de inmunodeficiencia humana (VIH). La zidovudina se administra a mujeres embarazadas que son VIH positivo para reducir la posibilidad de contagiarle la infección al bebé. La zidovudina se encuentra en una clase de medicamentos llamados inhibidores nucleósidos de la transcriptasa inversa (nucleoside reverse transcriptase inhibitors, NRTI). Funciona al disminuir la cantidad de VIH en la sangre. Aunque la zidovudina no cura el VIH, puede reducir su posibilidad de desarrollar el síndrome de inmunodeficiencia adquirida (SIDA) y enfermedades relacionadas con el VIH, como infecciones graves o cáncer. Tomar estos medicamentos junto con la práctica de relaciones sexuales seguras y hacer otros cambios en el estilo de vida puede disminuir el riesgo de contagiar (esparcir) el virus del VIH a otras personas.
Brinzolamide oftálmico;https://medlineplus.gov/spanish/druginfo/meds/a601233-es.html;El brinzolamide oftálmico se usa para tratar el glaucoma, una condición que aumenta la presión en el ojo y que podría conducir a la pérdida de la visión. El brinzolamide pertenece a una clase de medicamentos llamados inhibidores de anidraso carbónico. Funciona al reducir la presión en el ojo.
Olmesartán;https://medlineplus.gov/spanish/druginfo/meds/a603006-es.html;El olmesartán se usa solo o en combinación con otros medicamentos para tratar la presión arterial alta en niños de 6 años o más y adultos. El olmesartán pertenece a una clase de medicamentos llamados antagonistas del receptor de la angiotensina II. Actúa bloqueando la acción de determinadas sustancias naturales que contraen los vasos sanguíneos, lo que permite que la sangre circule mejor y que el corazón bombee con mayor eficiencia.
Fenazopiridina;https://medlineplus.gov/spanish/druginfo/meds/a682231-es.html;"La fenazopiridina alivia el dolor, ardor, irritación y el malestar en las vías urinarias, así como la necesidad de orinar con urgencia y en forma frecuente, todos síntomas provocadas por las infecciones en las vías urinarias, cirugía, lesiones o exámenes. Sin embargo, la fenazopiridina no es un antibiótico; no cura las infecciones."
Serdexmetilfenidato y dexmetilfenidato;https://medlineplus.gov/spanish/druginfo/meds/a621026-es.html;"La combinación de serdexmetilfenidato y dexmetilfenidato se usa como parte de un programa de tratamiento para controlar los síntomas del trastorno de déficit de atención con hiperactividad (TDAH; mayor dificultad para concentrarse, controlar sus acciones y permanecer quietos o en silencio que otras personas de la misma edad) en adultos y en niños de 6 años de edad en adelante. La combinación de serdexmetilfenidato y dexmetilfenidato pertenece a una clase de medicamentos llamados estimulantes del sistema nervioso central. Estos medicamentos funcionan al cambiar las cantidades de ciertas sustancias naturales en el cerebro."
Azitromicina;https://medlineplus.gov/spanish/druginfo/meds/a697037-es.html;La azitromicina se usa para tratar ciertas infecciones bacterianas, como la bronquitis,  neumonía, enfermedades de transmisión sexual (ETS) e infecciones de los oídos, pulmones, senos nasales, piel, garganta y órganos reproductivos.  La azitromicina también se usa para tratar o prevenir la infección diseminada por el complejo 
Azilsartán;https://medlineplus.gov/spanish/druginfo/meds/a611028-es.html;El azilsartán se usa solo o en combinación con otros medicamentos para tratar la presión arterial alta. El azilsartán pertenece a una clase de medicamentos llamados antagonistas del receptor de la angiotensina II. Actúa bloqueando la acción de determinadas sustancias naturales que contraen los vasos sanguíneos, lo que permite que la sangre circule mejor y que el corazón bombee con mayor eficiencia.
Azelastina oftálmica;https://medlineplus.gov/spanish/druginfo/meds/a603009-es.html;La azelastina oftálmico se usa para tratar la picazón provocada por la conjuntivitis alérgica. La azelastina pertenece a una clase de medicamentos llamados antihistamínicos. Funciona al bloquear la histamina, una sustancia producida por el cuerpo que causa los síntomas de las alergias.
Rasagilina;https://medlineplus.gov/spanish/druginfo/meds/a606017-es.html;La rasagilina se usa sola o en combinación con otro medicamento para tratar los síntomas de la enfermedad de Parkinson (una enfermedad progresiva lenta del sistema nervioso que provoca rigidez e inexpresividad de la cara, temblores en reposo, movimientos más lentos, que se arrastren los pies al caminar, postura encorvada y debilidad muscular). La rasagilina pertenece a una clase de medicamentos llamados inhibidores de tipo B de la monoamino oxidasa (MAO). Actúa aumentando las concentraciones de determinadas sustancias naturales en el cerebro.
Inyección de aztreonam;https://medlineplus.gov/spanish/druginfo/meds/a687010-es.html;La inyección de aztreonam se usa para tratar algunas infecciones que son provocadas por bacterias, incluyendo infecciones del tracto del sistema respiratorio (incluyendo la neumonía y la bronquitis), del tracto urinario, de la sangre, de la piel, ginecológicasy abdominales (área del estómago) que son causadas por bacterias. La inyección de aztreonam también se puede usar antes, durante y algunas veces durante un período breve posterior a la cirugía con el fin de prevenir que el paciente contraiga una infección. También se usa para prevenir infecciones luego de una cirugía colorrectal. El aztreonam pertenece a una clase de medicamentos llamados antibióticos monobactámicos. Funciona matando las bacterias.
Azacitidina;https://medlineplus.gov/spanish/druginfo/meds/a620060-es.html;"La azacitidina se usa para tratar la leucemia mieloide aguda (AML, en inglés; cáncer de los glóbulos blancos) en adultos que mejoraron después de la quimioterapia, pero que no pueden completar una terapia curativa intensiva. La azacitidina pertenece a una clase de medicamentos llamados agentes de desmetilación. Su acción consiste en ayudar a la médula ósea a producir células sanguíneas normales y destruir las células anormales."
Azatioprina;https://medlineplus.gov/spanish/druginfo/meds/a682167-es.html;La azatioprina se usa con otros medicamentos para prevenir el rechazo al trasplante de órganos (ataque del sistema inmunológico a un órgano trasplantado) en personas que han recibido trasplante de riñón. También se usa para tratar la artritis reumatoide grave (una afección en la que el cuerpo ataca sus propias articulaciones, y ocasiona dolor, hinchazón y pérdida de la función) cuando otros medicamentos y tratamientos no han ayudado. La azatioprina pertenece a una clase de medicamentos llamados inmunosupresores. Funciona al reducir la actividad del sistema inmunológico del cuerpo para que no ataque el órgano trasplantado ni a las articulaciones.
Azacitidina Inyectable;https://medlineplus.gov/spanish/druginfo/meds/a607068-es.html;La azacitidina está indicada para el tratamiento del síndrome mielodisplásico (un grupo de trastornos en el que la médula ósea produce glóbulos rojos que presentan una forma anormal y no genera suficientes células sanguíneas sanas). La azacitidina pertenece a una clase de medicamentos llamados agentes desmetiladores. Actúa ayudando a la médula ósea a producir glóbulos rojos normales y destruyendo las células anormales presentes en ella.
Axitinib;https://medlineplus.gov/spanish/druginfo/meds/a612017-es.html;El axitinib se usa solo para tratar el carcinoma avanzado de células renales (RCC, por sus siglas en inglés [un tipo de cáncer que empieza en las células de los riñones)] en personas que no fueron tratadas eficazmente con otro medicamento. El axitinib se usa en combinación con avelumab (Bavencio) o pembrolizumab (Keytruda) para tratar el carcinoma de células renales avanzado. El axitinib pertenece a una clase de medicamentos llamados inhibidores de la cinasa. Actúa bloqueando la acción de una proteína anormal que estimula la multiplicación de células cancerosas. Esto ayuda a retardar o detener la propagación de dichas células.
Inyección intramuscular de interferón Beta-1a;https://medlineplus.gov/spanish/druginfo/meds/a693040-es.html;"La inyección intramuscular de interferón beta-1a se usa para tratar adultos con varias formas de esclerosis múltiple (EM; una enfermedad en la que los nervios no funcionan adecuadamente y las personas pueden padecer de debilidad, entumecimiento, pérdida de la coordinación muscular y problemas de la vista, del habla y control de la vejiga) incluyendo:"
Inyección de ceftazidima y avibactam;https://medlineplus.gov/spanish/druginfo/meds/a615018-es.html;La inyección de combinación de ceftazidima y avibactam se utiliza con metronidazol (Flagyl) para tratar infecciones abdominales (área del estómago). También se usa para tratar la neumonía que se presenta en las personas que están conectadas a un respirador o quienes hayan estado en un hospital y infecciones renales y del tracto urinario. La ceftazidima se encuentra en una clase de medicamentos llamados antibióticos de cefalosporina. Funciona matando las bacterias. Avibactam se encuentra en una clase de medicamentos llamados inhibidores de beta-lactamasa. Funciona al evitar que las bacterias destruyan la ceftazidima.
Nizatidina;https://medlineplus.gov/spanish/druginfo/meds/a694030-es.html;La nizatidina se usa para tratar y prevenir la reaparición de las úlceras y para tratar otras condiciones donde el estómago produce demasiado ácido. La nizatidina también se usa para tratar o prevenir la pirosis ocasional (acidez), indigestión ácida, o estómago agrio. Reduce la cantidad de ácido producido en el estómago. La nizatidina está disponible con y sin prescripción médica.
Dutasteride;https://medlineplus.gov/spanish/druginfo/meds/a603001-es.html;"El dutasteride se usa solo o en combinación con otro medicamento (tamsulosina [Flomax]) para tratar la hiperplasia prostática benigna (HPB; agrandamiento de la próstata). El dutasteride se usa para tratar síntomas de HPB y es posible que reduzca las probabilidades de presentar retención urinaria aguda (incapacidad repentina de orinar). El dutasteride también puede disminuir las probabilidades de que sea necesaria una cirugía de próstata. El dutasteride pertenece a una clase de medicamentos llamados inhibidores de la reductasa 5-alfa. Actúa bloqueando la producción de una sustancia natural que agranda la próstata."
Nortriptilina;https://medlineplus.gov/spanish/druginfo/meds/a682620-es.html;La nortriptilina es usada para tratar la depresión. Pertenece a una clase de medicamentos llamados antidepresivos tetracícliclos. Funciona al aumentar la cantidad de ciertas sustancias naturales en el cerebro que son necesarias para mantener el equilibrio mental.
Inyección de moxifloxacina;https://medlineplus.gov/spanish/druginfo/meds/a608030-es.html;La inyección de moxifloxacina se usa para tratar algunas infecciones provocadas por bacterias como la neumonía e infecciones de la piel y abdominales (área del estómago). La inyección de moxifloxacina también se usa para prevenir y tratar las plagas (una infección grave que se puede contagiar a propósito como parte de un ataque de bioterrorismo). La inyección de moxifloxacina también se puede usar para tratar la bronquitis o las infecciones de los senos nasales, pero no se debe usar para estas afecciones si hay otras opciones de tratamiento.La inyección de moxifloxacina pertenece a una clase de antibióticos llamados fluoroquinolonas. Funciona matando la bacteria que ocasionan las infecciones.
Moxifloxacina;https://medlineplus.gov/spanish/druginfo/meds/a600002-es.html;La moxifloxacina se usa para tratar algunas infecciones provocadas por bacterias como la neumoníae infecciones de la piel y abdominales (área del estómago). La moxifloxacina también se usa para prevenir y tratar las plagas (una infección grave que se puede contagiar a propósito como parte de un ataque de bioterrorismo. La moxifloxacina también se puede usar para tratar la bronquitis o las infecciones de los senos nasales, pero no se debe usar para estas afecciones si hay otras opciones de tratamiento. La moxifloxacina pertenece a una clase de antibióticos llamados fluoroquinolonas. Funciona matando la bacteria que ocasionan las infecciones.
Inyección de testosterona;https://medlineplus.gov/spanish/druginfo/meds/a614041-es.html;La testosterona cipionato (Depo-Testosterone), testosterona enantato (Xyosted, disponible en genérico), testosterona undecanoato (Aveed) y los gránulos de testosterona (Testopel) son formas de la inyección de testosterona utilizadas para tratar los síntomas de baja testosterona en los hombres que tienen hipogonadismo (una condición en la que el cuerpo no produce suficiente testosterona natural). La testosterona se utiliza solo para los hombres con bajos niveles de testosterona ocasionados por ciertas condiciones médicas, incluyendo trastornos de los testículos, la glándula pituitaria, (una pequeña glándula del cerebro) o el hipotálamo (una parte del cerebro), que causan el hipogonadismo. Su médico ordenará algunas pruebas de laboratorio para chequear sus niveles de testosterona para saber si están bajos antes de empezar a usar la inyección de testosterona. La testosterona enantato (disponible en genérico) y los gránulos de testosterona (Testopel) también se usan para estimular la pubertad en los hombres con pubertad retardada. La inyección de testosterona enantato (disponible en genérico) se puede usar en algunas mujeres con un tipo de cáncer de seno llamado cáncer mamario que se ha esparcido a otras partes del cuerpo. La testosterona no se debe usar para tratar los síntomas de baja testosterona en los hombres que tienen baja testosterona debido al envejecimiento ('hipogonadismo relacionado con la edad'). La testosterona pertenece a una clase de medicamentos llamados hormonas androgénicas. La testosterona es una hormona producida por el cuerpo que contribuye al crecimiento, desarrollo y funcionamiento de los órganos sexuales masculinos y las características masculinas típicas. La inyección de testosterona funciona al suministrar testosterona sintética para reemplazar la testosterona que el cuerpo produce normalmente de forma natural. Cuando se usa para tratar el cáncer de seno, la testosterona funciona al detener la liberación de estrógeno.
Inyección de bevacizumab;https://medlineplus.gov/spanish/druginfo/meds/a607001-es.html;Los productos de la inyección de bevacizumab pertenecen a una clase de medicamentos llamados agentes antiangiogénicos. Actúan al detener la formación de vasos sanguíneos que llevan oxígeno y nutrientes a los tumores. Esto puede retrasar el crecimiento y la diseminación de los tumores.
Avatrombopag;https://medlineplus.gov/spanish/druginfo/meds/a618032-es.html;"El avatrombopag se usa para tratar la trombocitopenia (un número bajo de plaquetas [tipo de células sanguíneas necesarias para coagular la sangre]) en personas con enfermedad hepática crónica (constante) que están programadas para someterse a un procedimiento dental o médico para ayudar a evitar complicaciones por hemorragia. También se usa para tratar la trombocitopenia en personas con trombocitopenia inmune crónica (ITP; una afección constante que puede ocasionar moretones o sangrado inusual debido a una cantidad anormalmente baja de plaquetas en la sangre) que no fue tratada con otro tratamiento. El avatrombopag pertenece a una clase de medicamentos llamados agonistas del receptor de trombopoyetina (thrombopoietin, TPO). Su acción consiste en hacer que el cuerpo produzca más plaquetas."
Irbesartán;https://medlineplus.gov/spanish/druginfo/meds/a698009-es.html;El irbesartán se usa solo o en combinación con otros medicamentos para tratar la presión arterial alta. También se usa para tratar la enfermedad del riñón provocada por la diabetes en pacientes con diabetes tipo 2 (afección en la que el cuerpo no usa insulina en forma normal y, por lo tanto, no puede controlar la cantidad de azúcar en la sangre) y presión arterial alta. El irbesartán pertenece a una clase de medicamentos llamados antagonistas del receptor de la angiotensina II. Actúa bloqueando la acción de determinadas sustancias naturales que contraen los vasos sanguíneos, lo que permite que la sangre circule mejor y que el corazón bombee con mayor eficiencia.
Avapritinib;https://medlineplus.gov/spanish/druginfo/meds/a620013-es.html;"Avapritinib está indicado para tratar en adultos cierto tipo de tumor del estroma gastrointestinal (GIST; un tipo de tumor que crece en la pared del estómago, intestino o esófago [tubo que conecta la garganta con el estómago]) que se ha extendido a otras partes del cuerpo o que no se puede extirpar mediante cirugía. También se usa para tratar ciertos tipos de mastocitosis (un trastorno sanguíneo en el que hay muchos mastocitos [un tipo determinado de glóbulos blancos]). El avapritinib pertenece a una clase de medicamentos conocidos como inhibidores de la quinasa. Actúa al bloquear la acción de la proteína anormal que envía señales a las células del cáncer para que se multipliquen. Esto ayuda a detener o retrasar la propagación de las células de cáncer."
Rosiglitazona;https://medlineplus.gov/spanish/druginfo/meds/a699023-es.html;La rosiglitazona se usa junto con un programa de dieta y actividad física y, a veces, con uno o más medicamentos para tratar la diabetes tipo 2 (afección en la que el organismo no utiliza la insulina normalmente y, por lo tanto, no puede controlar la cantidad de azúcar en la sangre). D La rosiglitazona pertenece a una clase de medicamentos llamados tiazolidinedionas. Actúa aumentando la sensibilidad del organismo a la insulina, la sustancia natural que ayuda a controlar las concentraciones de azúcar en la sangre. La rosiglitazona no se usa para tratar la diabetes tipo 1 (afección en la que el organismo no produce insulina y, por lo tanto, no puede controlar la cantidad de azúcar en la sangre) o la cetoacidosis diabética (una afección grave que puede ocurrir si las altas concentraciones de azúcar en la sangre no se tratan).
Avanafil;https://medlineplus.gov/spanish/druginfo/meds/a614010-es.html;"Avanafil se usa para tratar la disfunción eréctil (ED: impotencia; incapacidad para lograr o mantener una erección en los hombres). El avanafil se encuentra en una clase de medicamentos llamados inhibidores de la fosfodiesterasa (PDE). Funciona al aumentar el flujo de sangre hacia el pene durante la estimulación sexual. El aumento en el flujo de sangre puede causar una erección. Avanafil no cura la disfunción eréctil ni aumenta el deseo sexual. Avanafil no evita el embarazo ni el contagio de enfermedades de transmisión sexual como el virus de inmunodeficiencia humana (VIH)."
Tazaroteno;https://medlineplus.gov/spanish/druginfo/meds/a616052-es.html;El tazaroteno (Tazorac, Fabior) se usa para tratar el acné. El tazaroteno (Tazorac) también se usa para tratar la psoriasis (una enfermedad de la piel en la cual se forman parches rojos y escamosos en algunas áreas del cuerpo). El tazaroteno (Avage) se usa para reducir las arrugas faciales y la decoloración en los pacientes que también usan otros programas de cuidado de la piel y para evitar la luz solar. El tazaroteno pertenece a una clase de medicamentos llamados retinoides. Funciona para tratar el acné y la psoriasis al retrasar el sobrecrecimiento de las células de la piel y disminuir la inflamación de las células de la piel, lo cual puede causar acné o psoriasis. Funciona para reducir las arrugas faciales y la decoloración al ocasionar un aumento en el grosor de las capas externas de la piel.
Deutetrabenazina;https://medlineplus.gov/spanish/druginfo/meds/a617022-es.html;La deutetrabenazina se usa para tratar la corea (movimientos repentinos que no puede controlar) causada por la enfermedad de Huntington (una enfermedad hereditaria que causa un desgaste progresivo de las neuronas del cerebro). También se usa para tratar la discinesia tardía (movimientos incontrolables de la cara, la lengua u otras partes del cuerpo). La deutetrabenazina pertenece a una clase de medicamentos conocidos como inhibidores del transportador de monoamina 2 (VMAT2). Funciona al cambiar la actividad de ciertas sustancias naturales en el cerebro que afectan los nervios y los músculos.
Auranofina;https://medlineplus.gov/spanish/druginfo/meds/a685038-es.html;La auranofina se usa para tratar la artritis reumatoide, en combinación con descanso y sin farmacoterapia. Mejora los síntomas de la artritis incluyendo el dolor o la sensibilidad de las articulaciones inflamadas y la rigidez matinal.
Teriflunomida;https://medlineplus.gov/spanish/druginfo/meds/a613010-es.html;"La teriflunomida se usa para tratar adultos con varias formas de esclerosis múltiple (EM; una enfermedad en la que los nervios no funcionan adecuadamente y las personas pueden padecer de debilidad, entumecimiento, pérdida de la coordinación muscular y problemas de la vista, del habla y control de la vejiga) incluyendo:"
Vacuna MMR (sarampión, paperas y rubeola);https://medlineplus.gov/spanish/druginfo/meds/a601176-es.html;
Efavirenz, emtricitabina y tenofovir;https://medlineplus.gov/spanish/druginfo/meds/a616048-es.html;La combinación de efavirenz, emtricitabina y tenofovir se usa sola o junto con otros medicamentos para tratar la infección del virus de inmunodeficiencia humana (VIH) en adultos y niños que pesan más de 40 kg (88 lb). El efavirenz se encuentra en una clase de medicamentos llamados inhibidores no nucleósidos de la transcriptasa inversa (non-nucleoside reverse transcriptase inhibitors, NNRTI). La emtricitabina y el tenofovir se encuentran en la clase de medicamentos conocidos como inhibidores nucleósidos de la transcriptasa inversa (nucleoside reverse transcriptase inhibitors, NRTI). Funcionan al disminuir la cantidad de VIH en el cuerpo. Aunque el efavirenz, la emtricitabina y el tenofovir no curarán el VIH, estos medicamentos pueden disminuir la probabilidad que usted tenga de desarrollar el síndrome de inmunodeficiencia adquirida (SIDA) y enfermedades relacionadas con el VIH, tales como infecciones graves o cáncer. Tomar estos medicamentos junto con la práctica de sexo seguro y hacer otros cambios en el estilo de vida, puede disminuir el riesgo de contraer o transmitir el virus del VIH a otras personas.
