,Title,Body,Rating
10,"
Easy to set up, great quality!
","

  Just received this monitor and I am incredibly impressed by it! It was incredibly easy to set up (took about 20 seconds!) and there is no lag between actions on this monitor and my laptop screen. The monitor comes with a lot of additional components - a screen protector, a protective case, two different connection cords, and a power supply block. I am excited to use it and see how long-lasting it is; however, it also comes with a 12-month warranty in case anything happens to it!

",5.0
11,"
Works Great, Affordable, Clear, Easy to Use, Poor Sound
","

  I just got this set up, so I'll update my review later when I've put this through more usage... but my initial impression is very good.The display quality is fantastic. I've got it connected via USB-C from my Surface Laptop and it's fantastic. Plus, it's being powered by the laptop so I don't need an external power source. This is going to make my life a LOT nicer when I need to work in random places with my laptop.I plugged it into my Samsung S10+ phone via USB and was even more impressed. Like the laptop, it was powered by the phone and looked great. I'd never seen my phone on a display like that, but being able to launch Outlook and the browser from my phone was pretty cool. It felt like I was on a tablet. I'll have to play with this more. I only wish this display had a touch screen to really make it feel like a tablet.The device came with USB C and HDMI cables, plus an AC adaptor and cord -- so you're totally set unless you need some other connection type.  A+ for that.There's a simple menu interface like nearly all monitors have for brightness, contrast, color, etc. But I didn't need to tune anything. It was all fine right out of the box.It came with a ""smart cover"" that uses magnets to hold itself into place. It's decent, but I don't trust those magnets. The cover doubles as a stand for a couple pre-determined positions, but I wish there were more angle options or an actual kickstand.The ONLY negative is that the sound quality was very, very poor. The speakers are tinny and quieter than those built into my laptop. I didn't buy this for sound, so I'm not disappointed, but anyone thinking about using this to amplify their game/movies better think twice. Just don't do it. On the plus side, it does come with a standard headphone jack which I suspect just passes the sound through from USB-C or HDMI. I haven't tried this yet.

",4.0
12,"
Love My Portable Monitor
","

  Delivery excellent. Packaged well. Received timely. Quality of the monitor exceeded my expectations. Price was decent and it had a coupon that I was able to apply to the order as well which made it nice. I read reviews on this product and several others on Amazon and chose this one because of the reviews, accessories that came with the product and t he features. I changed jobs and the new company did not provide another monitor to utilize while working from home so I purchased one to be able to be more efficient while working remotely. I have utilized the speakers as well on the monitor and they sound really good. Picture quality is good when doing Webex, Zoom and Team meetings virtually. I highly recommend this portable monitor.

",5.0
13,"
Comes with all the cords you need!
","

  This is a great, light weight, non touch external monitor. It has three ports. One for usb c power. One for usb c media. One for mini HDMI. If you plug in power to the top usb c port, either from a outlet or an Anker battery pack, it powers the display and recharges your source device plugged into the second usb c port at the same time. It's awesome.The interface defaults to Samsung Dex when plugged into a phone but just navigate to ""exit Dex"" and it will simply mirror your phone so you can use DirecTV Streaming and other phone apps.It's seamless with windows.Again, it includes every cord you need so don't buy a bunch of other cords that you will end up returning like I did.Lastly, it comes with a great magnetic case that protects it and acts as a solid stand.Very well done item.

",5.0
14,"
Good portable monitor
","

  This is a good monitor from a great company.  I ordered one of these and a few days later was contacted by the company to ask how I liked the product.  I told them about one minor issue and we went back and forth with some emails and then they told me that a newer model had eliminated the issue.  Then they sent me the improved model and told me to keep the old one which is absolutely usable.  I was astonished.  The problem I encountered was that the unit was not saving the brightness setting after closing down.  That was annoying but I then discovered that the setting could be quickly changed back by a downward scroll on the wheel on the left side and then a quick adjustment.  There was no need to go back into the full settings menu.  I wouldn't hesitate to buy another one of these if I needed it.

",5.0
15,"
Great second portable monitor
","

  This monitor is very versatile and can be used either as an external second screen for a laptop or as a portable tv if connected to a streaming device or phone.I particularly like the usb C cable that provides sound, video and power to the screen, all in one cable. Very handy for using with MacBook or latest PC.The screen format is close to 16:9 which makes it nice to work with spreadsheets. Colors need to be calibrated but are fine overall.The sound quality is what you would expect from small speakers.The nice touch is the Smart Cover that allows the screen to hold in position but sometimes the magnets don’t hold the screen very well.

",5.0
16,"
Picture quality is better than my laptop!
","

  Because the monitor is so inexpensive, I was worried the quality wouldn’t be good, but it’s amazing! The picture quality is better than my laptop, the speakers are super clear, and there’s no noticeable lag time. I travel a lot, and the fact that this monitor comes with its own stand and is so lightweight has made it so easy for me to work on the go. The bezel is also really thin (which I honestly didn’t realize I cared so much about until the one on another monitor I tried was huge). 10/10 would recommend

",5.0
17,"
Perfect!
","

  I bought this portable monitor to travel with when visiting family and squeezing in a little work. It works phenomenally.  Thank goodness that it came with the cords because one worked with my work laptop and not with my personal laptop and visa versa. The picture quality was excellent. The cord placement is a little awkward but essentially it does as it proclaims and worked beautifully my whole trip. Once outside is open fully and I am free to travel more widely, it will definitely be coming with me. It takes up very little space with its slim profile and travels easily along with my laptop and other electronics. Definitely recommend.

",5.0
18,"
Great Monitor For The Price
","

  This is a fantastic little monitor! I've mainly been using it as a second monitor for my laptop and gaming on my Switch. It also seems to work well with Samsung Dex. I am surprised at how good the picture quality is for a 1080p screen as it is very bright and does not seem to have any latency or major color inaccuracy issues. The built-in speakers are not very loud but are a nice bonus to have considering a lot of portable monitors don't bother adding any, especially at this price. Overall I'd highly recommend it if you are looking for a portable monitor that won't break the bank.

",5.0
19,"
Portable Monitor For Movies
","

  I purchased this portable monitor so that I could have a larger viewing landscape than my cellphone screen & what an incredible difference it made!  Easy setup-just plug in the USB C into the monitor's port and the other end into my phone's USB C port & the phone becomes a mouse to navigate the monitor.  Although it doesn't an internal battery, it comes with a power supply cord & an HDMI cord to connect to an Xbox or PS 4 game controller.Absolutely perfect for movies, shows or just surfing the web.It comes with a magnetic cover that doubles as a stable stand to allow easy viewing with a screen protector to boot!

",5.0
20,"
100% Incompatible with the M1 Mac Mini as a secondary monitor if using the the LG Ultrafine Display
","

  If you have the new M1 Mac Mini and an LG Ultrafine 5K display as your primary display you CANNOT USE THIS MONITOR. M1 Mac Minis only accept ONE monitor using a USB C connection and the LG only has USB C so that monitor is using the one allowed USB C connection. Using the Mac Mini's HDMI port doesn't work because you can't go HDMI to HDMI Mini port which is what the monitor has, having no full sized HDMI port (like most portable monitors to be  fair).Be warned, I have talked to Apple senior techs and there is no known workaround for this, no adapters that will allow the video signal to be sent. Nothing.

",4.0
21,"
Few issues but great value
","

  Was really skeptical of buying this item. Most of the products on this category are not highly rated and have a few design flaws.While not perfect, this item gets the job done. The display is bright and colors pop. The included cables are near useless. Besides not having the cable I needed, the included cables are too short. The kickstand case is ok. Embarrassed to say it too me 10 mins to figure out how to use it.Some apps on Windows 10 (Divinity Resolve) had serious issues with this display. It slowed down the operation of Divinity Resolve to a crawl. Had to start Resolve first, plugin and power up the monitor next to fix the issue. Aspect ratio is also hard to work with in some applications.Despite these issues, I use it every day.

",4.0
22,"
Perfect for Remote Work
","

  I use a second screen for remote work. I am usually not working in the same place for more than 2-3 days in a row, so I needed a screen as portable as my work laptop. This is lightweight with a high resolution, not like some other name-brand portable monitors out there.I spent $300 on a portable laptop monitor before this one that can't even hold a candle to this monitor. (On top of that, the $300 monitor felt cheap and stopped working after only 3 days.) The other reviewers are right. The display quality is crystal clear, and it's plug-and-play. Save yourself the heartache of getting duped by the other name-brands. Save your money and be satisfied with this instead.

",5.0
23,"
Much better than expected
","

  tl;dr The KYY 15.6"" 1080P portable monitor is an excellent product that exceeded my expectations for a $159.99 portable monitor. Sure, there are monitors with better picture quality or build for more money, but at this price, this was an absolute steal.Longer review.The KYY 15.6'' FHD 1080P Portable Monitor was a good deal for $159.99 in terms of price point and features when I initially looked at it before buying. The product page is accurate in its features and capabilities unlike others with a lot of excess and useless information.I was initially looks at this portable monitor for use with my Nintendo Switch and an Elgato HD60 S capture card. It worked excellent when directly connected to the Switch as well as when used through the Elgato HD60 S to the Switch.The connectivity and controls are flexible and easy to understand, just from the product page as well as from the manual. The power button and control wheel are simple enough to use without any problems. There were no loose or intermittent signals when using the 3.5mm (headphone) jack. The USB-C power (cable and adapter) and HDMI cables worked flawlessly.I must note that I did not attempt to use the USB-C full function capabilities as I did not have my laptop with this capability nearby to test this, but considering the rest of the monitor's build quality, I assume that there would be no problems if connected to the appropriate devices.The included accessories have a good feel for what's included. The smart cover, the cables and power adapter, and the screen protector all have a quality feel that seems like they didn't skimp out much, if at all, with these pieces.The picture quality is sharp enough, and the color accuracy is good enough out of the box. However, it is advisable, like most other monitors, to adjust the monitor's picture settings to be more color accurate or suited to your own tastes. I adjusted the picture settings manually to better match the monitors I have with my desktop PC to keep consistent color reproduction as much as possible across this portable monitor and my three desktop monitors.The 3.5mm (headphone) jack outputs the audio with a clean signal to the Elgato HD60S as well as to my audio interface (Focusrite 18i20). There was no distortion during my typical use. The built-in speakers are about as good as any monitor. Cheap, tinny, and quiet quality but good and clear enough. It's just like a phone speaker. It's good enough to understand what's coming through, but nothing like a proper speaker or headphones will give.Finally, I will talk about my personal gripes with this monitor. Firstly, The picture quality doesn't have a good spot for contrast and sharpness in my opinion. I'm no expert, but despite fiddling with the settings, I never found a setting I felt fully comfortable with. Second, the monitor's smart cover is magnetic and can only hold the monitor with the KYY logo at the base. It's a minor convenience for my uses, but it would have been nice to place it upside down because the monitor can auto-orient anyway. Lastly, the 4' cable is short for my use case. Again, like my other two issues, it's more of a personal problem, but a 6' cable would have been nice.Despite my personal ""issues"" with the product, which are really just quality of life preferences, the KYY 15.6'' FHD 1080P Portable Monitor is an excellent product and well-worth the price at $159.99.

",5.0
24,"
Great Display - Even better customer service
","

  I like how thin and light this monitor is compared to my last one - and you get all the cable options you need for Mac/pc laptops.  I had an issue with my screen cracking (with cover and inside padded case) and their customer service was so amazing they replaced it.  I'm impressed and thankful!  If you are going to travel with it, I recommend a hard case or extra protection.  I was not asked to leave this review - I'm doing it because I want to commend a company for taking care of their customers!

",5.0
25,"
Outstanding Portable Monitor
","

  The portable monitor is outstanding. It has excellent colors for watching a movie, Zoom Meeting, gaming, presentations, etc. Also I was delighted with one of the customer care representatives (Kathy) she went above and beyond to answer my questions. The monitor cones with a wall charger, and two other cables, monitor cover/converts to monitor stand and a monitor screen protector. This portable monitor is well worth the money. Thank you again Kathy you were awesome!!!

",5.0
26,"
An Impressive Portable Monitor
","

  I have been studying portable monitors for awhile now. I actually had this one saved. So when it showed up as a Lightening Deal, I snagged it right away. The packaging is very nice. All the cables were provided. The monitor and the other content was in excellent condition. I connected the monitor to my Samsung Note20 and power block and started up perfectly. Next, I connected it to my laptop. No issues there. I am very pleased with this monitor and recommend it if you need a second screen to extend to.

",5.0
27,"
VERY IMPRESSED
","

  The first thing that caught my eye was the size. I mean, I knew the size but somehow it seemed bigger than what I expected. Next, was the metal and the weight it had. I know the modern tech world loves thin, but I honestly like things to feel solid. I loved the metal and it is not too thick or thin. I've been using it mostly with Samsung DEX with the included USBc cable. One thing to note if you plan to use Dex is that ALL USB C CABLES ARE NOT THE SAME. Make sure yours is rated for video output. I tried with a different cable (brand new) and got frustrated until I realized the cable is the problem, not the device.

",5.0
28,"
Practical Solution to Enhance Work Performance
","

  I use a 13"" XPS, daily and at my office location, I attached 2 monitors.  When working from home increased I did not have the space for double monitors.  However,  I did want a practical, portable solution that worked in smaller desk space and still allow me the flexibility to get my jobs completed, unhindered.  I chose KYY 15.6'' FHD 1080P Portable Laptop Monitor because of its' out of the box plug and play feature. It was so easy to set-up!  Now on-calls, etc. are handled on an iPad Pro and my real work is on my laptop and portable monitor.  Life is so much easier.

",5.0
29,"
Lepow vs. KYY Portable Monitor - KYY WINNER!
","

  I bought the Lepow Z1-Gamut portable monitor and KYY 16:9 portable monitor to try out which one I liked as the reviews for these were fairly similar to my research. The products were very similar visually with the narrowness of bezel and color/quality output. However, KYY portable monitor stood out to me more in terms of the screen brightness, price, quality and the material.Lepow also has 320cd vs. KYY 300cd and to me it didn't seem to be a difference. Instead, it felt frustrating in some sense to work with all the settings on the Lepow to get what I like and somehow I still could not get it to the quality I liked. WIth KYY I plugged and go and it was already great in brightness and quality so did not need to fuss with the buttons. The buttons on KYY feels nicer, bigger, and easier to push down if I do ever need to access the screen controls. At the time of purchase checkout for both items, Lepow was about $30 more expensive, and with everything being quite similar in screen and style and quality they output, saving the $30 mattered more to me, so very happy with KYY price too!I feel kind of indifferent with the ports and where they are located between the two. KYY monitor has all the ports to the right for the HDMI and Type-C while Lepow is split between left and right. Just wanted to give that a mention since it did not really occur to me when I was deciding on which to purchase. I am leaning more towards all ports on one side though, just so my work space feels less cluttered as I do need to use the HDMI to mini HDMI and the Type-C to USB adapter charger. But I can be flexible and can work around those and not something that is a top consideration of mine's.The Lepow cover magnetic pull was slightly stronger than KYY from what I felt and the cover gave a more plastic-y smooth, cool to touch feel. KYY's cover was more cloth-y and when rubbed fingers there is a slight resistance feel, which is also nice and won't move as much when in cover against a smooth glass-like surface. Then with the cover, like some reviews said, Lepow's cover does have some weight to it, making it ever so slightly heavier than the KYY monitor with cover. In terms of the idea of a something ""portable"" KYY device stood out more to me in that regards.In all, I use a 13.3 laptop and don't like using an external monitor to extend the screen anymore. So I like to work with a smaller font, screens, and have lots of things opens at the same time to look at. Having a 15.6 monitor makes such a huuuuuuge difference to the eyes! My personal laptop is 15.6 in and I definitely appreciate the larger screen.I am so glad I also decided to try out the KYY 16:9 portable monitor! I decided to return the Lepow one and get another KYY for my family to use on the side (and maybe share haha!)!

",5.0
30,"
Fuzzy display, won't work in extended display mode  **SECOND REVIEW UPDATE**
","

  Fired up immediately once connected, but all it would do is mirror my HP laptop screen; would not show up as external monitor, rendering it totally useless.Also, the quality of the display image definition was very poor--quite fuzzy compared with my laptop screen, and no amount of adjustment made any improvement.Would definitely not recommend.  Am frankly very puzzled by all the four-and five-star reviews.  Will be returning it immediately, and will order a name brand monitor rather than screw around with another no-name cheapo monitor.  It will cost an extra $100, but for an all-day-every-day work setup, well worth it.**UPDATE**  Although the monitor was a disappointment, the vendor has been very responsive in discussing the problem.  They they are working on an improved model; we'll see.  But meanwhile they're sending me a free replacement--same model--to see if it works any better; and this after I've already returned the first unit to Amazon.  They seem like a good company, and I hope their next model is of higher quality,**SECOND UPDATE**  To their credit, the vendor sent me a second monitor to try out, free of charge--after I had already returned the first one via Amazon and gotten a refund.  They really are trying.  The replacement monitor was better in one respect: it was able to function in extended display mode, which the first unit was not.However, it still suffers from lack of clarity: it can only be made sharp at a resolution that makes it all but impossible to move objects between displays--windows are the wrong size, wrong onscreen position.  This renders it useless for my purposes.  The ViewSonic monitor I replaced it with doesn't have these issues.The KYY monitor also lacks a built-in kickstand, which the ViewSonic has.  The KYY unit relies on folding the slipcover to a certain configuration to act as a support--not nearly as convenient or stable as the ViewSonic.  Not a huge deal, but the ViewSonic kickstand is definitely a plus.BOTTOM LINE:  If you want a second monitor but don't need to slide windows between displays, the KYY model is probably just fine.  It is certainly cheaper than the ViewSonic.

",2.0
31,"
This item, is very cheaply made
","

  This item, is very cheaply made, for the price. I needed a duel screen for school because I watch my lectures online and write out my notes at the same time. I have had the product for almost a week now and it's been one problem after the other. Installation was easy and very simple no issues there. Applying the magnets and downloading the drivers was smooth and the mechanics of the product are good. When plugged in I found that the second screen turns on and off here and there. This becomes increasingly annoying because this causes blackouts on both the duex screen and the screen of your laptop, so you basically can't do any work while it's happening. It started out only happening every so often so it was annoying but manageable. The longer I used the screen the worse it got.

",1.0
32,"
ANNOYING
","

  Pretty disappointed. Just opened the box, set it up, and there's a dead pixel... **update** I've had it on for 8 hours now bc of work and the screen flickers and words jump. Super annoyed now. Trying to convince myself not to return it bc I need a second monitor. Not sure anymore **update** it's been a couple days, I've started hearing a high pitched buzz which sounds like a tiny mosquito right in your eardrum. So hard to focus when everything is quiet and that's the only sound you hear.... also, the magnetic cover suuuucks. The screen keeps falling out, slipping, closing on itself. Urg. Im going to be returning this as soon as possible...

",1.0
33,"
May Not Work for All USB-C Ports
","

  I tested this monitor with multiple different cables and connectors, even a USB-3.0 adapter with display capabilities.  This monitor did not want to connect to my ASUS laptop USB-C port purchased in 2018.  The USB-C connection only worked connecting USB-C to USB-C with my Samsung Note 20+.  For everything else, I needed to connected through HDMI.  Will be returning as it does not serve my purposes adequately.UPDATE: Previously 3 star rating, updated to 4 stars for excellent customer service, although issue is still unresolved for me.  After returning the item, the company contacted me and decided to send me another monitor to test out.  There is no change in status to the above; my laptops and the monitor are not compatible for USB-C connection.  However, my Samsung Note 20 smart phone was still able to connect perfectly fine via USB-C.Note: I have tested monitors like this from another brand (that I will not name here) that have worked perfectly fine with USB-C to USB-C on my laptops, to include using a USB-C to regular USB 3.0 adapter that has video capability.I would recommend this to other people if HDMI is enough for you.  I don't have any recent laptops that have the latest USB-C for testing to give a solid recommendation for USB-C only connection; except that it works perfectly fine with my USB-C smart phone.  I hope this helps people.

",4.0
34,"
Works exactly as I needed
","

  I purchased this external monitor to pair with a Microsoft Surface that suffered water damage. (The laptop still works but the screen does not.) It took a little finessing to find the right cord configuration, as my Surface does not have a USBC, only a standard USB and a mini HDMI. I tried a number of setups using the enclosed cords, but had to purchase a converter that for the HDMI cord that could then plug into the mini HDMI on my machine. (Thanks to KYY for the prompt and reliable technical support; if you are having any issues, look in the box for a little card with their contact information. It's a lot easier to work directly with the manufacturer rather than Amazon.) I like this unit so much that I got rid of the larger (non-portable) monitor I've been using at my home office and just work from the portable. (Work is mostly standard office tasks with some graphic design.) I do agree with some other reviewers that the kickstand is a little weak. But it packs up well and fits easily into my laptop skin. Would definitely recommend.

",5.0
35,"
Great for Travel
","

  I travel frequently and did not want to keep lugging a real monitor along. This was the perfect solution, my work laptop is a comically small 14"" and I work in accounting so I cannot function on one tiny screen. My only complaint is the HDMI cable broke almost immediately but I can use the lightning cable and the USB cable. The case is also not that great as a stand, I bought an inexpensive one when I got tired of knocking it over. My job isn't one that I would notice a lag and I don't stream on it so I cannot speak to that. Overall for the price it was a great solution for me.

",5.0
36,"
Could be be better
","

  Well, it works. The cables are all about short and supper finicky, the screen quality is pretty good, but not that bright compared to my laptop and the screen protector is came with is awful. The case is the worst part out of all of this, it’s strange, the magnetism is weak, it barely protects the screen and barely supports it in a standing position. Because of this, I haven’t actually taken it anywhere for fear of it breaking or getting damaged due to the poor quality case and it’s use is limited by the flimsy “stand” provided by the case, which means I’ll have to buy something else to stand it up. It works well as a second monitor, which is I guess the most you could ask.

",3.0
37,"
Good product with major problem (Updated)
","

  Updated from 3 stars to 5 since their customer service team promptly sent a replacement and I haven't had issues since!This is a decent product for its price, except for one major issue I had that made it unusable (see my tragic tale below).  I probably gave it too many stars because I really want to like it and most everything else seems good about the product.Pros:-Great price-Very portable and light-Perfect size for travel-Easy to set up and use-Comes with multiple adapter cables-Brightness response time is fine for office workCons:-Has to be plugged in to be used (no internal battery).  Although, you can just plug the USB power cable into your laptop-Stand is a little finicky and only has one angle to set the monitor at.  This can't be stood up anywhere other than a stable flat surface.Major con:-Not durable, lasted 2 weeks before breaking.  I travel for work and carry this in my computer bag so I can set it up at my hotel room desk.  This worked great on my first trip and had me feeling hollywood movie hacker working twice the speed any normal human should perform at.  Delusions of grandeur quickly crashed back down to reality as on my second trip after only 2 weeks of owning the monitor, the screen broke.  This sent me back to using the just the laptop monitor like the one-screen peasant I am.  It put the monitor in a thick laptop case and then in my protected computer compartment of my computer bag.  I have been placing multiple laptops here for 2 years and have had no issues at all.  When I took the monitor out from the bag, the screen was broken as shown in the attached picture.  I assure you that I am very careful with my bag and didn't drop or bang it.  I realize this anyone reading this will think something like ""look at this idiot that dropkicked his monitor and is acting surprised when it broke"".  But I really feel like treated it with the respect that the newborn tech baby deserved from it's proud new gadget owning dad...  In case I really am just an abusive negligent father, I ordered another one to give it last try.  I can only hope it lives a long and fulfilling life, unlike my goldfish in Kindergarten that my little sister removed from the tank so she could ""take it for a walk"".  That said, since this is a PORTABLE monitor it I think it should be at least somewhat close in durability to the laptop I use with it.

",5.0
38,"
Terrible display quality
","

  I mean the product works, but my low rating is due to the terrible picture quality. From the reviews here with pictures, there does not seem to be a dim screen issue so it's definitely just my screen, which is probably defective. Just take a look between my laptop and the screen. The color is off and the dimness makes it really hard to read text on the screen. I'm surprised the reviews are so good because I experienced the opposite.Update: My replacement came in and the quality is night and day. It’s much sharper, clearer, and brighter. Turns out the product I got the first round was defective. Really glad I got a replacement.

",4.0
39,"
Excellent for Remote Working
","

  Working in an office where I'm used to dual monitors, it was a challenge when I would have to travel to work from another place away from my desk.  I used to have to try to pack up my laptop and desk monitor and I would worry about something happening to it.  This monitor is just the right size, came with a cover that keeps it safe. It fits nicely in my laptop bag, along with my laptop (not bulky). It connects up to my laptop or any device I may have (tablet or cell). The cords that it comes with connects everything together beautifully. I love that I can keep it landscape or stand it on end (portrait) to have a longer page to work with. I highly recommend this if you have to work on the go! Just what I needed. Thanks!

",5.0
40,"
Quality Monitor
","

  I shopped around for months for a monitor to use with my Surface Laptop and settled on this one. The set up out of the box is easy. I did have to purchase a mini-HDMI adapter for my laptop, so be mindful of what ports your laptop has. But once I got that, everything else was easy. Love the portability of it. The screen image is sharp and the sound is great. There is no lag between the two devices and video play is great. I will use it mainly for a second monitor to work, but look forward to the break times when I sneak a movie or two. Highly recommended.

",5.0
41,"
Simple, has all you need for portable FHD
","

  Top things: Super simple to transport and stand up using the included case, you can power it for videos or gaming using a USB battery.The included USB-C works for working on my MacBook Pro 2018, working on the personal Windows laptop (both power the screen too), and playing on the Switch.The included HDMI>miniHDMI works for Netflix and the like from the Windows machine.Only downside is that both USB-C inputs could be display/power instead of just the one.

",5.0
